Name,Crossing Number,Genus-3D,Bridge Index,Braid Index,Alexander
3_1,3,1,2,2,1-t+ t^2
4_1,4,1,2,3,1-3*t+ t^2
5_1,5,2,2,2,1-t+ t^2-t^3+ t^4
5_2,5,1,2,3,2-3*t+ 2*t^2
6_1,6,1,2,4,2-5*t+ 2*t^2
6_2,6,2,2,3,1-3*t+ 3*t^2-3*t^3+ t^4
6_3,6,2,2,3,1-3*t+ 5*t^2-3*t^3+ t^4
7_1,7,3,2,2,1-t+ t^2-t^3+ t^4-t^5+ t^6
7_2,7,1,2,4,3-5*t+ 3*t^2
7_3,7,2,2,3,2-3*t+ 3*t^2-3*t^3+ 2*t^4
7_4,7,1,2,4,4-7*t+ 4*t^2
7_5,7,2,2,3,2-4*t+ 5*t^2-4*t^3+ 2*t^4
7_6,7,2,2,4,1-5*t+ 7*t^2-5*t^3+ t^4
7_7,7,2,2,4,1-5*t+ 9*t^2-5*t^3+ t^4
8_1,8,1,2,5,3-7*t+ 3*t^2
8_2,8,3,2,3,1-3*t+ 3*t^2-3*t^3+ 3*t^4-3*t^5+ t^6
8_3,8,1,2,5,4-9*t+ 4*t^2
8_4,8,2,2,4,2-5*t+ 5*t^2-5*t^3+ 2*t^4
8_5,8,3,3,3,1-3*t+ 4*t^2-5*t^3+ 4*t^4-3*t^5+ t^6
8_6,8,2,2,4,2-6*t+ 7*t^2-6*t^3+ 2*t^4
8_7,8,3,2,3,1-3*t+ 5*t^2-5*t^3+ 5*t^4-3*t^5+ t^6
8_8,8,2,2,4,2-6*t+ 9*t^2-6*t^3+ 2*t^4
8_9,8,3,2,3,1-3*t+ 5*t^2-7*t^3+ 5*t^4-3*t^5+ t^6
8_10,8,3,3,3,1-3*t+ 6*t^2-7*t^3+ 6*t^4-3*t^5+ t^6
8_11,8,2,2,4,2-7*t+ 9*t^2-7*t^3+ 2*t^4
8_12,8,2,2,5,1-7*t+ 13*t^2-7*t^3+ t^4
8_13,8,2,2,4,2-7*t+ 11*t^2-7*t^3+ 2*t^4
8_14,8,2,2,4,2-8*t+ 11*t^2-8*t^3+ 2*t^4
8_15,8,2,3,4,3-8*t+ 11*t^2-8*t^3+ 3*t^4
8_16,8,3,3,3,1-4*t+ 8*t^2-9*t^3+ 8*t^4-4*t^5+ t^6
8_17,8,3,3,3,1-4*t+ 8*t^2-11*t^3+ 8*t^4-4*t^5+ t^6
8_18,8,3,3,3,1-5*t+ 10*t^2-13*t^3+ 10*t^4-5*t^5+ t^6
8_19,8,3,3,3,1-t+ t^3-t^5+ t^6
8_20,8,2,3,3,1-2*t+ 3*t^2-2*t^3+ t^4
8_21,8,2,3,3,1-4*t+ 5*t^2-4*t^3+ t^4
9_1,9,4,2,2,1-t+ t^2-t^3+ t^4-t^5+ t^6-t^7+ t^8
9_2,9,1,2,5,4-7*t+ 4*t^2
9_3,9,3,2,3,2-3*t+ 3*t^2-3*t^3+ 3*t^4-3*t^5+ 2*t^6
9_4,9,2,2,4,3-5*t+ 5*t^2-5*t^3+ 3*t^4
9_5,9,1,2,5,6-11*t+ 6*t^2
9_6,9,3,2,3,2-4*t+ 5*t^2-5*t^3+ 5*t^4-4*t^5+ 2*t^6
9_7,9,2,2,4,3-7*t+ 9*t^2-7*t^3+ 3*t^4
9_8,9,2,2,5,2-8*t+ 11*t^2-8*t^3+ 2*t^4
9_9,9,3,2,3,2-4*t+ 6*t^2-7*t^3+ 6*t^4-4*t^5+ 2*t^6
9_10,9,2,2,4,4-8*t+ 9*t^2-8*t^3+ 4*t^4
9_11,9,3,2,4,1-5*t+ 7*t^2-7*t^3+ 7*t^4-5*t^5+ t^6
9_12,9,2,2,5,2-9*t+ 13*t^2-9*t^3+ 2*t^4
9_13,9,2,2,4,4-9*t+ 11*t^2-9*t^3+ 4*t^4
9_14,9,2,2,5,2-9*t+ 15*t^2-9*t^3+ 2*t^4
9_15,9,2,2,5,2-10*t+ 15*t^2-10*t^3+ 2*t^4
9_16,9,3,3,3,2-5*t+ 8*t^2-9*t^3+ 8*t^4-5*t^5+ 2*t^6
9_17,9,3,2,4,1-5*t+ 9*t^2-9*t^3+ 9*t^4-5*t^5+ t^6
9_18,9,2,2,4,4-10*t+ 13*t^2-10*t^3+ 4*t^4
9_19,9,2,2,5,2-10*t+ 17*t^2-10*t^3+ 2*t^4
9_20,9,3,2,4,1-5*t+ 9*t^2-11*t^3+ 9*t^4-5*t^5+ t^6
9_21,9,2,2,5,2-11*t+ 17*t^2-11*t^3+ 2*t^4
9_22,9,3,3,4,1-5*t+ 10*t^2-11*t^3+ 10*t^4-5*t^5+ t^6
9_23,9,2,2,4,4-11*t+ 15*t^2-11*t^3+ 4*t^4
9_24,9,3,3,4,1-5*t+ 10*t^2-13*t^3+ 10*t^4-5*t^5+ t^6
9_25,9,2,3,5,3-12*t+ 17*t^2-12*t^3+ 3*t^4
9_26,9,3,2,4,1-5*t+ 11*t^2-13*t^3+ 11*t^4-5*t^5+ t^6
